Username,Gender,Age,Activity,Duration,Calories,Steps,Mood,Date,Duration_min,Calories_num,Activity_std,Mood_std,Age_num
emma15@outlook.com,Female,48,running,40 min,753.76 kcal,4442,Sad,12/9/2024,40,753.76,Running,Sad,48
sophia13@gmail.com,Female,60,gym,43 min,592.25 kcal,0,Happy,7/11/2024,43,592.25,Strength Training,Happy,60
john16@yahoo.com,Male,44,swim,75 min,455.83 kcal,0,Tired,6/10/2024,75,455.83,Swimming,Tired,44
ava15@hotmail.com,Female,52,swimming,107 min,772.78 kcal,0,Neutral,7/27/2024,107,772.78,Swimming,Neutral,52
james12@yahoo.com,Male,29,swimming,52 min,795.23 kcal,0,Tired,10/20/2024,52,795.23,Swimming,Tired,29
david21@yahoo.com,Male,26,gym,74 min,281.91 kcal,0,Happy,6/6/2024,74,281.91,Strength Training,Happy,26
john17@icloud.com,Male,36,gym,101 min,693.69 kcal,0,Sad,11/13/2024,101,693.69,Strength Training,Sad,36
emily17@gmail.com,Female,26,yoga,56 min,845.45 kcal,0,Tired,7/8/2024,56,845.45,Yoga,Tired,26
ava16@outlook.com,Female,34,swimming,61 min,638.85 kcal,0,Happy,8/10/2024,61,638.85,Swimming,Happy,34
daniel15@hotmail.com,Male,58,cycling,62 min,572.43 kcal,0,Neutral,8/5/2024,62,572.43,Cycling,Neutral,58
david22@icloud.com,Male,52,swimming,120 min,235.65 kcal,0,Sad,2/17/2024,120,235.65,Swimming,Sad,52
ava17@yahoo.com,Female,21,gym,79 min,221.83 kcal,0,Neutral,3/11/2024,79,221.83,Strength Training,Neutral,21
ava18@hotmail.com,Female,23,gym,72 min,737.39 kcal,0,Neutral,9/14/2024,72,737.39,Strength Training,Neutral,23
daniel16@outlook.com,Male,43,cycling,119 min,52.56 kcal,0,Sad,2/2/2024,119,52.56,Cycling,Sad,43
john18@hotmail.com,Male,48,walking,51 min,397.54 kcal,12598,Neutral,11/24/2024,51,397.54,Walking,Neutral,48
james13@hotmail.com,Male,42,yoga,25 min,630.32 kcal,0,Sad,3/21/2024,25,630.32,Yoga,Sad,42
james14@gmail.com,Male,64,running,15 min,692.75 kcal,4888,Energetic,11/24/2024,15,692.75,Running,Energetic,64
sophia14@outlook.com,Female,40,running,50 min,210.21 kcal,14339,Happy,1/26/2024,50,210.21,Running,Happy,40
john19@yahoo.com,Male,31,walking,27 min,554.85 kcal,7314,Sad,11/23/2024,27,554.85,Walking,Sad,31
emma16@gmail.com,Female,52,running,111 min,784.17 kcal,924,Neutral,9/10/2024,111,784.17,Running,Neutral,52
ava19@gmail.com,Female,33,cycling,33 min,887.84 kcal,0,Neutral,7/10/2024,33,887.84,Cycling,Neutral,33
michael22@yahoo.com,Male,53,Yoga,21 min,876.45 kcal,0,Energetic,9/11/2024,21,876.45,Yoga,Energetic,53
michael23@icloud.com,Male,33,running,53 min,778.91 kcal,2365,Energetic,1/18/2024,53,778.91,Running,Energetic,33
james15@outlook.com,Male,34,running,57 min,599.7 kcal,7369,Tired,2/18/2024,57,599.7,Running,Tired,34
ava20@hotmail.com,Female,22,running,117 min,697.44 kcal,11867,Sad,4/16/2024,117,697.44,Running,Sad,22
john20@icloud.com,Male,30,swimming,30 min,684.85 kcal,0,Energetic,4/23/2024,30,684.85,Swimming,Energetic,30
david23@outlook.com,Male,36,yoga,74 min,503.6 kcal,0,Tired,5/12/2024,74,503.6,Yoga,Tired,36
james16@outlook.com,Male,27,running,57 min,245.52 kcal,9335,Neutral,8/18/2024,57,245.52,Running,Neutral,27
emma17@hotmail.com,Female,47,running,108 min,725.73 kcal,2773,Neutral,12/18/2024,108,725.73,Running,Neutral,47
john21@icloud.com,Male,22,swimming,21 min,699.69 kcal,0,Neutral,11/8/2024,21,699.69,Swimming,Neutral,22
,Male,52,cycling,17 min,476.88 kcal,0,Energetic,3/4/2024,17,476.88,Cycling,Energetic,52
ava21@icloud.com,Female,40,cycling,116 min,387.36 kcal,0,Energetic,8/19/2024,116,387.36,Cycling,Energetic,40
emily18@hotmail.com,Female,23,yoga,63 min,370.59 kcal,0,Happy,11/1/2024,63,370.59,Yoga,Happy,23
david24@hotmail.com,Male,29,cycling,17 min,867.25 kcal,0,Neutral,12/27/2024,17,867.25,Cycling,Neutral,29
sophia15@outlook.com,Female,61,gym,57 min,376.27 kcal,0,Neutral,12/24/2024,57,376.27,Strength Training,Neutral,61
emily19@icloud.com,Female,32,Walking,58 min,564.39 kcal,10057,Sad,7/25/2024,58,564.39,Walking,Sad,32
emma18@yahoo.com,Female,32,cycling,85 min,849.97 kcal,0,Neutral,11/19/2024,85,849.97,Cycling,Neutral,32
olivia16@outlook.com,Female,56,gym,115 min,325.77 kcal,0,Happy,5/14/2024,115,325.77,Strength Training,Happy,56
sophia16@yahoo.com,Female,61,yoga,36 min,168.01 kcal,0,Tired,8/5/2024,36,168.01,Yoga,Tired,61
james17@outlook.com,Male,57,yoga,117 min,782.87 kcal,0,Tired,7/27/2024,117,782.87,Yoga,Tired,57
daniel17@yahoo.com,Male,56,swimming,40 min,457.16 kcal,0,Energetic,6/10/2024,40,457.16,Swimming,Energetic,56
sophia17@hotmail.com,Female,42,cycling,119 min,717.99 kcal,0,Happy,10/7/2024,119,717.99,Cycling,Happy,42
david25@outlook.com,Male,64,yoga,105 min,228.2 kcal,0,Tired,12/3/2024,105,228.2,Yoga,Tired,64
emma19@outlook.com,Female,58,cycling,45 min,264.78 kcal,0,Energetic,7/3/2024,45,264.78,Cycling,Energetic,58
david26@gmail.com,Male,52,walking,116 min,873.16 kcal,11495,Sad,10/21/2024,116,873.16,Walking,Sad,52
david27@yahoo.com,Male,46,cycling,65 min,443.6 kcal,0,Sad,12/17/2024,65,443.6,Cycling,Sad,46
daniel18@outlook.com,Male,23,walking,108 min,170.42 kcal,5110,Tired,8/26/2024,108,170.42,Walking,Tired,23
emma20@outlook.com,Female,38,walking,53 min,87.98 kcal,11645,Happy,1/28/2024,53,87.98,Walking,Happy,38
sophia18@hotmail.com,Female,53,running,57 min,525.87 kcal,7570,Neutral,7/21/2024,57,525.87,Running,Neutral,53
john23@yahoo.com,Male,46,gym,69 min,380.51 kcal,0,Neutral,4/9/2024,69,380.51,Strength Training,Neutral,46
emily20@icloud.com,Female,41,cycling,40 min,438.92 kcal,0,Energetic,9/21/2024,40,438.92,Cycling,Energetic,41
emily21@yahoo.com,Female,40,yoga,94 min,196.65 kcal,0,Tired,10/19/2024,94,196.65,Yoga,Tired,40
daniel19@icloud.com,Male,29,cycling,103 min,170.15 kcal,0,Energetic,10/5/2024,103,170.15,Cycling,Energetic,29
michael24@outlook.com,Male,42,gym,79 min,605.11 kcal,0,Energetic,7/23/2024,79,605.11,Strength Training,Energetic,42
john24@yahoo.com,Male,36,walking,50 min,241.12 kcal,4729,Neutral,8/19/2024,50,241.12,Walking,Neutral,36
,Female,35,gym,120 min,892.26 kcal,0,Happy,12/15/2024,120,892.26,Strength Training,Happy,35
sophia19@yahoo.com,Female,20,yoga,48 min,346.29 kcal,0,Happy,8/28/2024,48,346.29,Yoga,Happy,20
ava22@yahoo.com,Female,63,gym,95 min,413.94 kcal,0,Neutral,4/27/2024,95,413.94,Strength Training,Neutral,63
daniel20@yahoo.com,Male,38,swimming,52 min,295.93 kcal,0,Sad,11/27/2024,52,295.93,Swimming,Sad,38
john25@gmail.com,Male,59,running,104 min,786.17 kcal,4090,Neutral,12/11/2024,104,786.17,Running,Neutral,59
emma21@gmail.com,Female,54,swimming,49 min,583.64 kcal,0,Energetic,2/21/2024,49,583.64,Swimming,Energetic,54
daniel21@outlook.com,Male,47,yoga,56 min,544.66 kcal,0,Happy,12/15/2024,56,544.66,Yoga,Happy,47
david28@icloud.com,Male,31,yoga,120 min,230.07 kcal,0,Tired,5/11/2024,120,230.07,Yoga,Tired,31
olivia17@yahoo.com,Female,20,walking,95 min,716.31 kcal,7529,Happy,2/28/2024,95,716.31,Walking,Happy,20
james18@hotmail.com,Male,62,running,98 min,306.59 kcal,14326,Tired,2/21/2024,98,306.59,Running,Tired,62
michael25@outlook.com,Male,43,swimming,54 min,667.09 kcal,0,Neutral,7/21/2024,54,667.09,Swimming,Neutral,43
emily23@outlook.com,Female,55,running,81 min,627.99 kcal,152,Happy,12/11/2024,81,627.99,Running,Happy,55
michael26@yahoo.com,Male,22,running,64 min,125.93 kcal,13204,Happy,2/11/2024,64,125.93,Running,Happy,22
michael27@yahoo.com,Male,22,gym,87 min,57.2 kcal,0,Neutral,8/12/2024,87,57.2,Strength Training,Neutral,22
james19@icloud.com,Male,31,walking,27 min,169.01 kcal,2017,Sad,12/13/2024,27,169.01,Walking,Sad,31
daniel22@gmail.com,Male,51,gym,80 min,210.35 kcal,0,Tired,11/2/2024,80,210.35,Strength Training,Tired,51
james20@outlook.com,Male,33,yoga,96 min,554.84 kcal,0,Happy,6/11/2024,96,554.84,Yoga,Happy,33
olivia18@outlook.com,Female,48,walk,17 min,549.26 kcal,225,Tired,4/2/2024,17,549.26,Walking,Tired,48
daniel23@yahoo.com,Male,45,swimming,66 min,120.06 kcal,0,Sad,10/5/2024,66,120.06,Swimming,Sad,45
